device_id,battery_cycles,avg_temp,screen_on_time,fast_charging_count,cpu_usage,battery_health
1,152,39.94334584679002,6.350490388065122,61,47.558977360557236,84.21772899734738
2,485,28.242771175540142,2.1367520456462494,118,42.79924690604829,86.42185709955545
3,910,38.351099486386694,8.193085591950428,263,54.995023691642,59.240169491441634
4,320,38.38483193669769,1.973998735380639,238,37.28726987002975,77.76168103643175
5,156,23.63251870442348,2.2601946341671755,254,36.96903670001836,91.37251777332943
6,121,30.31855683796614,4.165594639736727,172,37.068957046741865,91.6096757566181
7,750,33.02085609634169,4.192288916095326,236,64.61147003776406,61.8562787658672
8,70,34.10187999882381,8.792042730762965,94,46.33496704086401,90.2712998053941
9,664,31.28432867616008,5.657687226499272,56,53.446748391982396,74.67694635727972
10,171,31.01498598208909,8.494770583949325,66,47.24356819307866,85.87702188891357
11,516,43.35741445591046,4.864165042828094,45,48.81953041520519,73.76270486865855
12,264,34.462204340705455,6.6352927380212705,93,25.24882484100518,92.15491579495428
13,380,31.524781699251303,6.948084623024412,137,34.40159030400768,88.40441329319864
14,508,34.79415261543725,7.3921308341540986,92,33.78679453464819,83.21124181820537
15,137,37.68545416530572,5.070147651168324,231,40.59083112683055,83.52010874468073
16,422,35.25813188355604,5.244290222430212,48,38.96499283241362,86.8677177056318
17,149,33.97136204586013,5.4037388414683125,22,23.92324535990944,96.76405521701449
18,921,31.749916656647734,2.6951752194063916,61,40.429404625717275,77.37847131269903
19,713,31.689345772662005,5.832196273463406,266,19.875031482946483,86.2189969191778
20,180,32.0109580675732,5.23263148984744,117,47.76470912131324,87.919091794262
21,711,36.694073004053685,7.160145788155107,87,41.03953610132002,74.48189219180378
22,358,30.029099537991065,6.182602342119337,88,52.45357965017081,83.86791300399189
23,819,36.96634611735111,8.672763606906376,54,42.128481686037794,71.66892514900519
24,393,42.06497377813415,6.140176950417134,152,35.376065832357725,76.66868253926842
25,541,36.628536789066,4.8755886075594725,238,24.23765401491135,84.68847236930885
26,463,33.15207235541431,6.115394444331568,264,36.0547849158988,81.00745114499838
27,855,28.50936557472685,7.448334481754327,267,32.12288817120884,80.16104915756557
28,435,42.89053403955757,2.4535851844219065,112,43.71550765476065,76.2827239432591
29,241,29.149911747005437,4.569502962364819,165,35.78897660945417,89.41864989394783
30,326,39.24281017237874,4.611646528229296,155,46.04914888275517,78.02673562093719
31,210,38.19258930297243,6.821980405755001,7,53.53836045176802,82.97610646052647
32,509,33.8161569851797,7.0545730793839,201,25.859176027336485,89.20224210668125
33,363,33.68510598109661,6.2024554556697895,216,39.97392473465792,83.09690245478396
34,71,25.821443629794896,1.0427237617441536,291,39.52256398334336,89.47906694982173
35,302,36.650325004063106,2.696163633616426,49,43.14225030675986,84.19115413036641
36,797,38.099631661979025,5.522136357085758,106,46.86652657043987,71.40923720797764
37,906,29.554599419260978,4.9970611532830524,8,55.87755378829207,71.42462775695861
38,610,34.220892628354484,6.010740757672006,232,28.90525585210008,80.28766393876977
39,524,35.18930957504475,5.0612036751290495,187,24.27910730868782,84.15621469885937
40,108,37.92286313974784,9.063284932298075,109,41.88511548663328,87.24154548797213
41,560,35.01901538061594,1.4121168303069567,144,44.495107331632205,76.97102527551681
42,731,26.86840323019208,6.605255263059629,227,47.20323890628743,73.08465788312742
43,525,32.35031115268755,7.656020812326945,113,32.38901181689565,85.41823232943287
44,749,36.1231289269451,7.403076916716799,62,24.221510944635053,84.72167648205713
45,832,39.20764171019879,7.574545976002369,274,52.18968431731436,64.70918053282081
46,239,31.911816953028765,7.862231816781868,123,45.12474017821885,88.06605028936278
47,736,45.9382493727501,4.792040226785552,85,36.21302242345738,67.8965337427679
48,612,25.527634655815177,3.797032486046086,69,18.53860711644308,92.73264263067573
49,925,32.18149912471049,1.9306366546106553,46,33.30909814551139,77.15482572929761
50,616,34.58483198253614,5.274794332640609,198,46.953888675191685,76.7602695695063
51,293,33.99625418223568,4.444933752090289,200,44.34797361987597,82.59340784372931
52,881,28.839288350925838,8.323217627314275,275,26.216948265753178,83.73436135027357
53,554,37.23930873875897,5.42488377969773,36,46.19118512289438,80.86485421853068
54,180,36.85547025656961,3.939188525544884,202,39.118095747326485,84.08471371595573
55,534,35.23980722990773,3.622929092077799,129,52.670727211726835,73.80288387057371
56,868,36.65921931629258,9.977640107567588,291,33.020659292360726,70.78862415128366
57,696,32.88111794275984,5.955827370016845,63,33.830208570630674,84.32334529407805
58,70,26.91318524945716,4.436991073452113,262,41.15095954034257,92.86227136856957
59,890,31.416800649738775,6.248083615544043,119,35.82343144194788,76.73085565229391
60,216,35.78527290704721,9.79377831233014,277,31.265249093915088,89.19818408950798
61,323,35.81372207423198,5.220638715400889,201,58.41438781183466,73.98593366210244
62,437,35.20689526292924,7.374021418896394,45,54.209617007378924,80.94774831888819
63,650,37.74354133992516,8.372922074660648,167,30.40087748530323,79.08262503612687
64,365,32.09426977274992,2.2171522163001867,109,42.203223709856736,84.37409388163786
65,63,35.133405285552676,4.723175162660922,45,24.680386863604763,93.99725939641182
66,291,37.860463892024605,8.122173256317726,211,57.01231644378687,71.06503150628659
67,826,34.575550907488235,4.601393121794988,27,47.60141682166352,76.78001871472465
68,395,28.783380357969506,6.8292507985345665,86,50.036579343720604,85.86167660403221
69,614,30.192558151722313,4.48303680175038,290,37.48457052824453,79.07668593330803
70,947,39.154261621396834,5.108896192976146,156,51.74697132280327,66.3815348225079
71,389,41.962360814712866,4.865272388785787,264,51.77351101729165,67.25851343583561
72,141,40.876415539120245,7.273340307391665,264,38.35351303628198,79.36104899778165
73,416,36.160779748710176,6.403160228399185,21,28.50996064334477,88.52473734763815
74,504,28.984336989916535,6.197718890022039,255,44.352083629870144,76.56263117290518
75,477,34.96824221613566,11.014990475717667,190,38.73474558702265,78.1900065578794
76,558,42.811275659752106,9.479394814240134,231,58.525503160996784,61.38690623356064
77,825,38.092441902282374,2.037512758892439,185,40.50632074949772,66.94304176744005
78,992,33.96261238658064,5.113180653562903,182,41.06454410327669,67.70650290399352
79,84,38.14312616420608,10.852927349213983,201,48.06979866110334,81.23024771679971
80,255,28.653023966921978,4.850819938623916,64,40.03275688034122,95.48398228579143
81,130,31.52164311075899,10.17549197175029,42,46.94356065163993,88.25893029626866
82,981,29.579043044888376,5.147346370263479,220,34.609692552805065,76.37771836374448
83,611,37.347859091742166,5.532004858906874,16,28.814397522186113,85.07310411387803
84,921,38.570517498600466,7.727142718271624,284,30.874313623416562,69.5848531558569
85,437,34.23086986400817,5.819585649984329,182,36.628750703274044,82.47646379294757
86,51,30.63535161630217,6.989249279148573,43,41.186207484640356,91.06376041452914
87,439,34.90125453232687,9.149897398615277,187,44.990372952691594,76.0796470150218
88,615,32.56710054663096,7.517601867951538,262,44.55647729933183,75.36759780016273
89,155,31.019146476531276,6.283064264299399,173,40.10074066103018,89.0486809908851
90,821,36.69496842654623,9.347053683435185,53,29.299064844566317,76.2924890047306
91,871,31.210038887406633,7.753374951750199,219,46.988260716115384,69.93272579917178
92,526,27.168251335179537,4.532913673805304,45,24.986559455667795,95.30232551902478
93,752,28.279427648184065,9.960150466888038,259,28.324135597404553,78.55709293317078
94,451,26.983697665920253,7.284731184100356,194,40.45195679104028,84.29735401318146
95,779,36.23755958288102,5.572646462260277,60,47.96452387101133,76.10462833205601
96,605,35.75202719088082,1.9583648308281054,165,46.273119010128546,75.59296639212381
97,211,35.50260047254081,3.2448472398706665,159,38.996656078647085,88.73283896243393
98,251,37.93865826239971,9.400269820799874,150,44.44750530781465,80.39124317601865
99,319,40.959794280585584,9.4793305039409,110,29.345460273606562,87.07333004749437
100,912,32.03866734587442,6.17056813746648,36,34.382028668481695,77.43697550760751
101,865,37.03238738619209,2.4595116480490278,2,34.53362697182715,79.56452736869188
102,320,27.101922462970617,3.8260494926987882,12,30.251228371215085,95.73824793093696
103,505,41.893548731316756,2.7524632959008444,161,36.40708379172661,77.09600087893959
104,511,28.775843808909215,2.6797774801724787,263,37.91175855006472,82.59761633129246
105,776,31.44959440479781,10.053604737873812,82,35.377057581112304,82.23092756789546
106,301,32.01145243133454,10.119835816828946,264,37.43254976747355,81.66278006054806
107,751,27.36864501638894,3.7583056928688605,218,11.385076272869007,90.3607775553541
108,345,35.16287788704281,5.982530048204802,145,43.85692447175182,81.64339840015322
109,774,36.06951934100741,3.4304076801363945,297,35.94385028290502,73.49263717147772
110,769,34.05293164509225,5.969523906999827,296,35.934401128188085,71.24889250170585
111,798,27.298761839844616,9.278607766738192,160,26.117139059523694,82.07162549384543
112,387,44.91693117425856,8.15743810160603,228,55.51005936925431,63.48347343432865
113,928,37.74615398250824,7.617325530994575,233,55.98338716962151,60.0629768961736
114,102,48.171110218249794,5.611640525474271,88,23.3144204563945,86.42070690298404
115,841,30.974453800568536,8.52393423199273,214,37.64469779310908,74.41875685274177
116,971,39.78941114088489,7.293337493166662,96,49.277926338753524,64.54431696886193
117,266,38.896369436970815,6.807831162631439,212,36.414650450198046,84.3155125542922
118,813,33.54712448451319,5.769181323600429,99,33.93864071077533,78.41752646328385
119,237,42.05525450529612,6.636745879029332,144,33.28914471195133,85.4482358948983
120,429,32.97294996193111,6.576503155738653,9,43.12704856882723,86.58667717777374
121,542,33.195542902876966,4.917136709851478,43,66.15393565087129,71.3459715616537
122,90,20.0,4.450166932545466,250,48.2790102129821,92.40532691751365
123,206,37.04514026871318,4.006186079339219,226,28.914424940573024,89.69368492018981
124,64,28.37245044158797,4.1342737764128135,248,33.711169576568224,94.96515409892423
125,862,32.24639402152244,5.623794248909897,168,37.32245829954438,77.62355885922895
126,114,29.868901806274863,5.294630202008837,129,31.408330256831572,96.38808859223306
127,906,33.168842303408695,4.758532506794887,18,29.54315733401309,80.35001974280237
128,888,37.219401151087176,4.610437050529669,234,47.499298364748306,68.4468019286357
129,570,35.055707815243785,6.583760052232633,0,34.97065034257133,86.1917191632931
130,393,38.54820645252904,8.755214894348612,129,43.71814819347136,80.66080014576605
131,178,41.32814767792816,5.978168637853102,26,57.8242871812302,78.81765510087001
132,697,33.15602031661082,5.8473383999184625,1,34.75664829747791,81.85135351038703
133,521,32.60716378991943,4.130226614573261,249,42.746259753771675,77.97637559526957
134,112,39.788638268310045,5.5538603764185845,221,29.76377260867978,89.76034033342732
135,188,40.18523644369965,8.380672681218737,137,44.155101650753714,82.95480114640627
136,548,38.702954340515234,8.074922207017945,274,53.00044402481261,68.63542500832068
137,642,30.239105966303253,7.9359474885486705,140,52.48447134758745,74.07906137908019
138,441,37.11327532750802,7.871737658439685,255,40.42306007632233,79.42757070419805
139,724,35.54735302023644,6.87346511112967,94,34.810355923796415,81.58719105449151
140,468,40.26264470674832,6.802414326965991,172,42.36803933646564,71.78441916098481
141,338,32.135639552311254,6.489500653369548,56,40.51111503397588,89.71843724750227
142,428,26.66694854425042,5.1662294398949715,101,44.611383849039775,86.39967085244476
143,822,38.45118400190136,6.1673987972310185,168,33.655201889239066,73.72544404178471
144,539,22.208158083714487,6.431199367411733,69,35.99832362168474,90.56977223703295
145,280,31.34243298051835,7.266337206632104,48,37.816959191438826,91.13504865881067
146,90,29.88402244340853,6.200512974090319,4,46.664642412654594,91.29476378185771
147,77,29.850326645471267,10.210322761944836,201,47.99179467171793,85.73157372304219
148,184,31.25484264522452,3.5803756058841762,201,35.68437559132014,90.1732504662103
149,250,41.086867848758146,7.5089513995414,178,28.490158190761747,82.98948641069255
150,889,39.10277709503186,5.917512586721893,56,43.62640625501424,71.57531656156125
151,829,33.74134659003747,6.004292564253084,185,47.3191488201941,70.54283755918527
152,979,40.668117359295245,4.374848435378384,91,38.658490372568416,73.52285797125313
153,82,29.68851422416813,8.03868653449737,291,32.86390898962422,89.40888003290131
154,97,29.00858307126421,7.305683068642314,226,35.22030209610735,91.21343269967699
155,552,39.31798329623295,7.667274793607383,111,56.39339402108034,69.11708025110202
156,456,37.89821614661324,6.338490809637929,147,42.21730298225462,80.91378172725769
157,623,32.698682992083384,5.35021037071955,268,50.133913454185056,71.77030229143806
158,777,29.322695531509346,5.866876902911086,202,31.969074009712468,79.76371973293003
159,854,42.2986593751897,6.86693130011128,55,52.10245514417782,67.36055490376519
160,148,26.399487245260907,1.9888476541605185,184,48.946862185300574,86.72129482267832
161,733,32.0078703232822,7.7458657351509155,53,38.97585078902658,78.06982008166133
162,921,36.14288263758949,10.852385629366132,36,46.089398811182434,72.33452069569091
163,775,44.010824042157225,6.960670093906953,210,52.939343070874955,61.54093812843896
